mean_flux,std_flux,max_flux,min_flux,range_flux,skewness,symmetric_messure,max_freq,mean_mag,std_mag,energy,slope_mean,slope_std,slope_max,slope_min,slope_abs_mean,duty_cicle,rise_time,fall_time,increase_points,decrease_points,material,temperature,frequency,wave_label
2.929709458210616e-12,0.044231708968200424,0.062437886,-0.062770702,0.125208588,-0.005736733365227964,0.07956277113867188,55.0,0.06303684929610529,1.414010287005135,1025.7401528962675,-3.729550781250307e-07,0.0002711559085012037,0.00038184099999999995,-0.0003818770000000001,0.00024417506835937503,50.09765625,11.0,-75.0,0.0,0.0,0,25,56320,2
-3.222655002508853e-11,0.0441720048130054,0.062241821,-0.062586738,0.124828559,-0.005753566873159332,0.07949459324414063,77.59765625,0.06295643344487553,1.4121014414371502,1022.9729246315399,-3.7492285156245464e-07,0.0002707842207769322,0.00038463599999999983,-0.000380929,0.00024343085644531253,50.09765625,18.0,-74.0,0.0,0.0,0,25,79460,2
-4.0039036667290204e-11,0.04972266952122064,0.070020787,-0.070508669,0.140529456,-0.007507406785908163,0.08950899277148437,86.9921875,0.07084370230486836,1.5895475101121883,1296.2202199347817,-4.2306835937503603e-07,0.00030480753267093084,0.00043336700000000004,-0.00042955500000000003,0.0002740485253906248,50.09765625,18.0,-74.0,0.0,0.0,0,25,89080,2
1.0742222050748936e-11,0.044012037734867775,0.062025701,-0.062309724,0.124335425,-0.005260900129689601,0.07923836970898437,97.607421875,0.06266559495009576,1.4069903752189588,1015.5770330876087,-3.758193359375058e-07,0.0002697964060809573,0.00038474999999999995,-0.0003806930000000001,0.0002424668076171876,50.0,14.0,-75.0,0.0,0.0,0,25,99950,2
1.2695279994781144e-11,0.05573600266098621,0.078550474,-0.078981397,0.157531871,-0.0061987191612284664,0.10027279618945312,97.607421875,0.07941278193273325,1.781783278211516,1628.701716709618,-4.7534375000002416e-07,0.0003416683660850096,0.00048730300000000013,-0.00048074399999999953,0.0003072040917968751,50.09765625,22.0,-75.0,0.0,0.0,0,25,99950,2
-2.9297086039778886e-12,0.031199268535910915,0.043973252,-0.044106851,0.08808010299999999,-0.002925206683302881,0.05614505572851563,109.53125,0.04438672038953411,0.9973894128178639,510.3389807350281,-2.661425781250123e-07,0.0001912535996124771,0.000272151,-0.00026907099999999996,0.0001717653085937501,50.09765625,21.0,-74.0,0.0,0.0,0,25,112160,2
3.613280267911602e-11,0.012369720979076255,0.017449673,-0.017464453,0.034914126000000004,-0.0007645266771618179,0.022266833123046875,154.78515625,0.01755266368907963,0.39544170370362075,80.2213053596693,-1.051904296874985e-07,7.582586171829594e-05,0.00010781000000000001,-0.00010728500000000001,6.808646191406253e-05,50.0,21.0,-75.0,0.0,0.0,0,25,158500,2
4.1992182540912694e-11,0.010032658176290178,0.014175291,-0.014183858,0.028359149,-0.000622642610487523,0.018065745646484374,173.65234375,0.014212400080508478,0.3207303217474276,52.77180498137953,-8.52265624999991e-08,6.14992566175492e-05,8.727800000000001e-05,-8.704199999999998e-05,5.530373632812496e-05,50.0,15.0,-75.0,0.0,0.0,0,25,177820,2
2.8320251575589476e-11,0.07824847267088346,0.110153331,-0.110722719,0.22087605,-0.005548707464498534,0.1409119770527344,218.60351562499997,0.11152420862757632,2.501466287924706,3210.122874231716,-6.71072265625002e-07,0.0004796715432808783,0.0006870430000000002,-0.0006734029999999999,0.0004307274628906255,50.09765625,18.0,-75.0,0.0,0.0,0,25,223850,2
-6.445313037406245e-11,0.013828844227197948,0.019495336,-0.019514062,0.039009398,-0.0009393010482772184,0.024906669027343748,275.244140625,0.0196395862940623,0.4420869888315496,100.2632289505017,-1.1793554687500335e-07,8.477030926569571e-05,0.00012080000000000001,-0.00012035399999999998,7.607229492187487e-05,50.0,18.0,-75.0,0.0,0.0,0,25,281850,2
