mean_flux,std_flux,max_flux,min_flux,range_flux,skewness,symmetric_messure,max_freq,mean_mag,std_mag,energy,slope_mean,slope_std,slope_max,slope_min,slope_abs_mean,duty_cicle,rise_time,fall_time,increase_points,decrease_points,material,temperature,frequency,wave_label,core_loss
-4.0039076415992085e-11,0.020400189494477,0.028848625,-0.028840163,0.057688788,-0.0006267934674347,0.0367193139199218,1.951171875,0.0289840117806863,0.6521623141714985,218.1917475657868,-1.7232324218749866e-07,0.0001250556388459,0.0001768679999999,-0.000177071,0.0001125010908203,50.0,16.0,-75.0,0.0,0.0,0,25,50030,2,1997.95525
-2.539062396850189e-11,0.0222233295379711,0.031419176,-0.0314273,0.062846476,-0.0012223698776903,0.0399923121875,2.37109375,0.0315828191826811,0.7104448847755984,258.93345729092573,-1.885722656249913e-07,0.0001362305839737,0.000193151,-0.000192583,0.0001225584511718,50.09765625,20.0,-75.0,0.0,0.0,0,25,50020,2,2427.74983
-9.765698525789957e-13,0.0251066532550156,0.035534728,-0.035512541,0.071047269,-0.00049423867921,0.0448997133925781,3.2548828125,0.0356848770140855,0.8026200122873217,330.48181482066474,-2.108349609374998e-07,0.0001539094833662,0.000216313,-0.000216328,0.0001385533623046,50.0,35.0,-74.0,0.0,0.0,0,25,50020,2,3332.72576
-5.859375384094644e-11,0.0282627362557856,0.040015423,-0.040025182,0.080040605,-0.0015307980555068,0.0508381654804687,4.3974609375,0.0402324159621049,0.9035122509550676,418.7919538790607,-2.389238281249945e-07,0.0001732569264319,0.000244525,-0.000243354,0.0001560903828124,50.0,19.0,-74.0,0.0,0.0,0,25,50020,2,4502.908007
4.1015619512798745e-11,0.0318123074138727,0.04502763,-0.045085135,0.090112765,-0.0025078955075391,0.0572353058867187,5.9208984375,0.0452749711972874,1.0169865434948986,530.5914637653078,-2.6870800781249984e-07,0.0001950157184104,0.0002749309999999,-0.000274416,0.0001757327861328,50.0,15.0,-73.0,0.0,0.0,0,25,50030,2,6063.023248
1.7578112857847715e-11,0.0448106239248254,0.063309253,-0.063456843,0.126766096,-0.0035885748440036,0.080429128515625,13.939453125,0.0637699874728142,1.432521278594712,1052.7661183636028,-3.799052734374968e-07,0.0002746935270915,0.0003900559999999,-0.0003867419999999,0.0002472101259765,50.09765625,4.0,-74.0,0.0,0.0,0,25,50020,2,14273.85421
-4.882768534302358e-12,0.0791413788015616,0.111447239,-0.112063878,0.223511117,-0.0068648905103258,0.1424613916386718,55.080078125,0.1130291357148188,2.5300005615055747,3283.8033544903483,-6.755439453125189e-07,0.0004851653084082,0.0006923269999999,-0.000687626,0.0004358696064453,50.09765625,20.0,-75.0,0.0,0.0,0,25,50020,2,56401.52952
-1.1718732505354264e-11,0.0887152144902378,0.124866864,-0.125599949,0.2504668129999999,-0.0074913929178315,0.159788635046875,71.9248046875,0.1268059738437735,2.8360533968555,4126.350655906861,-7.600458984374491e-07,0.0005438626476587,0.0007788299999999,-0.0007714029999999,0.0004884329482421,50.09765625,17.0,-76.0,0.0,0.0,0,25,50020,2,73651.31728
-8.789165706761965e-12,0.1114702811573736,0.1566562,-0.157896017,0.314552217,-0.0095012200959278,0.2007843489472656,122.1171875,0.1596608519938632,3.563474001532186,6514.605336194672,-9.59070312500047e-07,0.0006833925025818,0.000981931,-0.000968972,0.0006134007285156,50.1953125,19.0,-76.0,0.0,0.0,0,25,50020,2,125047.8122
-4.394532689591099e-11,0.1244524490247094,0.174814636,-0.176389829,0.351204465,-0.0107451477529045,0.2241268034082031,157.9853515625,0.1784265309046351,3.9784793490673263,8120.38858643755,-1.065556640624964e-06,0.0007630104148352,0.0010915509999999,-0.0010801509999999,0.0006848806640625,50.1953125,11.0,-76.0,0.0,0.0,0,25,50020,2,161776.6059
1.0742219853757227e-11,0.1750520587372757,0.244365162,-0.24759493,0.491960092,-0.0147817690234361,0.3158386310019531,344.712890625,0.2528096526069326,5.595958175875084,16065.874240816356,-1.530639648437488e-06,0.0010735240167685,0.001568749,-0.001541864,0.000959328915039,50.1953125,15.0,-79.0,0.0,0.0,0,25,50020,2,352985.6272
9.765575313836352e-12,0.1931388087061977,0.268992445,-0.273150592,0.542143037,-0.0169173269657317,0.3485611867382813,431.365234375,0.2797913251218373,6.1741054922246486,19557.305249142788,-1.6930205078124417e-06,0.0011846491476043,0.0017329889999999,-0.0017039259999999,0.0010571800986328,50.29296875,16.0,-78.0,0.0,0.0,0,25,50030,2,441717.9624
1.0742188189653956e-11,0.0175746885820435,0.024828539,-0.024865563,0.049694102,-0.0017331124824673,0.0316234112910156,1.7177734375,0.0249559996557689,0.5618360518221781,161.93666613552736,-1.487255859375023e-07,0.0001077335409742,0.0001525579999999,-0.00015254,9.691006738281246e-05,50.0,12.0,-75.0,0.0,0.0,0,25,56320,2,1759.006565
-5.859382558590762e-12,0.0196899511690201,0.027812696,-0.027875578,0.055688274,-0.002623240306906,0.0353597304765625,2.3095703125,0.0279683619776123,0.6294573917395903,203.2634046911072,-1.664814453124935e-07,0.0001207006546699,0.000171079,-0.000171059,0.0001085996787109,50.09765625,5.0,-75.0,0.0,0.0,0,25,56310,2,2364.873224
7.812511974204269e-12,0.0220491344023725,0.031156813,-0.031246228,0.062403041,-0.0028911740608505,0.0396084118476562,3.05859375,0.0313363323957688,0.7048760926824824,254.89012314283104,-1.855917968750459e-07,0.0001351641979975,0.0001900249999999,-0.000190705,0.0001216953476562,50.0,26.0,-75.0,0.0,0.0,0,25,56320,2,3132.233226
1.7578111144300062e-11,0.0250393051763864,0.035420698,-0.035525243,0.070945941,-0.0031932975800543,0.0450255454960937,4.2607421875,0.0356324451386035,0.8004650747277143,328.7111715867654,-2.110380859374905e-07,0.0001534974036036,0.000216097,-0.000216034,0.0001383552529296,50.0,21.0,-74.0,0.0,0.0,0,25,56320,2,4363.429973
-2.734376952199887e-11,0.0280849376223611,0.0397187,-0.039867389,0.079586089,-0.00380582753171,0.0505236931484375,5.6376953125,0.0399631224790332,0.8978290479839062,413.539353887724,-2.3729785156250386e-07,0.0001721673040904,0.000242923,-0.0002421969999999,0.0001552042822265,50.09765625,14.0,-74.0,0.0,0.0,0,25,56320,2,5773.018252
-4.58984484690582e-11,0.0349274863032047,0.04929146,-0.049525016,0.098816476,-0.0050726645355414,0.0627501883183593,9.75390625,0.0497410707585602,1.1165721779300246,639.5942925555745,-2.951992187499603e-07,0.0002141140601568,0.0003025269999999,-0.000301393,0.0001927057304687,50.09765625,6.0,-74.0,0.0,0.0,0,25,56320,2,9988.187279
-1.6601581263894062e-11,0.0396108868094334,0.055898567,-0.056190141,0.112088708,-0.0054970651967133,0.0712906205371093,13.1484375,0.0564273379836575,1.2662917696367382,822.6195918446919,-3.347646484374964e-07,0.0002428255218077,0.000344348,-0.000342587,0.000218588493164,50.09765625,15.0,-75.0,0.0,0.0,0,25,56310,2,13463.78092
8.007809605285109e-11,0.0500903068891566,0.070737564,-0.071156216,0.14189378,-0.0064095700774218,0.0901213654492187,22.703125,0.0714453039802383,1.601296769824713,1315.4589575740872,-4.2385351562503437e-07,0.0003070749868326,0.0004338839999999,-0.0004322249999999,0.0002767124355468,50.09765625,15.0,-75.0,0.0,0.0,0,25,56310,2,23248.3141
-1.0742181625678012e-11,0.0622673887008536,0.087617849,-0.088250718,0.175868567,-0.0075856689634877,0.1120092508105468,38.087890625,0.0889608772365141,1.990569547300336,2032.783954082895,-5.30383789062478e-07,0.0003817283410884,0.0005432589999999,-0.000540843,0.0003429629111328,50.09765625,22.0,-76.0,0.0,0.0,0,25,56320,2,39002.19859
-1.6601491862266397e-11,0.0693465831462432,0.097540819,-0.09832264,0.195863459,-0.0085523149813415,0.1247468193535156,48.8955078125,0.099100839521034,2.2168767182508056,2521.274040481913,-5.921738281250123e-07,0.0004251289320821,0.000606426,-0.000603695,0.0003819536445312,50.09765625,23.0,-75.0,0.0,0.0,0,25,56320,2,50069.23431
-3.710939521354328e-11,0.0785100548592437,0.110358798,-0.111341721,0.2217005189999999,-0.009426796989671,0.1412425231835937,65.1982421875,0.1122664866260059,2.509812112314017,3231.621428806397,-6.706972656250217e-07,0.0004813128852888,0.000688218,-0.000683987,0.0004323381289062,50.1953125,7.0,-75.0,0.0,0.0,0,25,56320,2,66762.87637
-1.953135406254026e-12,0.0983141858523682,0.137948422,-0.139394982,0.277343404,-0.011151250512543,0.1771569386914062,111.12890625,0.1408111768313712,3.1429011520645878,5067.5995848548055,-8.476425781249882e-07,0.0006027416143089,0.000865825,-0.000859462,0.0005408386933593,50.1953125,17.0,-76.0,0.0,0.0,0,25,56310,2,113796.1134
2.4414033629584035e-11,0.1100013593960804,0.154213975,-0.156058959,0.310272934,-0.0124126830635961,0.1981078659824218,144.7822265625,0.1576638035964143,3.5165108234835314,6344.041598280352,-9.420791015624288e-07,0.000674415297532,0.0009652789999999,-0.000959986,0.0006050597451171,50.1953125,9.0,-76.0,0.0,0.0,0,25,56310,2,148257.1129
6.835963520642136e-12,0.1238790226786347,0.17350443,-0.175767158,0.349271588,-0.013476058848768,0.2232799175175781,194.0283203125,0.1777333267478836,3.960142348276429,8045.730075673202,-1.068852539062488e-06,0.0007595120436292,0.00109603,-0.001084654,0.0006811022177734,50.1953125,17.0,-76.0,0.0,0.0,0,25,56320,2,198685.0545
-9.766409104376389e-13,0.1378000883124842,0.192730315,-0.195472805,0.38820312,-0.0146824551617812,0.2485024546855468,249.9345703125,0.1980958388114264,4.405150976040247,9955.633706528126,-1.1954296874999735e-06,0.0008449178676778,0.001225639,-0.0012118559999999,0.0007570137890624,50.1953125,16.0,-77.0,0.0,0.0,0,25,56320,2,255933.2678
-2.9296604408374748e-12,0.1543086300301708,0.214929047,-0.218359686,0.433288733,-0.0162406249111558,0.2783936539863281,323.8505859375,0.2227820421727651,4.932847974823103,12483.9019422879,-1.3520380859373893e-06,0.0009463127633543,0.0013868209999999,-0.001369986,0.0008449150185546,50.1953125,9.0,-77.0,0.0,0.0,0,25,56320,2,331623.2171
-6.835943623838205e-12,0.1700116292543863,0.236343413,-0.240403954,0.476747367,-0.017325227437339,0.3069499708417968,406.59960937500006,0.2459962349263819,5.434807708842558,15153.996277602537,-1.495495117187571e-06,0.0010427598606525,0.0015334409999999,-0.0015153319999999,0.0009296517060546,50.29296875,11.0,-79.0,0.0,0.0,0,25,56320,2,416358.3168
-2.539051113524299e-11,0.1903049988339586,0.263947758,-0.268948476,0.532896234,-0.0192221928093951,0.3437638674804687,522.0283203125,0.2763004369849432,6.083488676052875,18987.61031840852,-1.684391601562461e-06,0.0011675280876589,0.001725618,-0.0017021129999999,0.0010391285654296,50.29296875,18.0,-80.0,0.0,0.0,0,25,56310,2,534557.2986
-7.812506556581538e-12,0.0156504045369518,0.022059316,-0.02215917,0.044218486,-0.0039597637467762,0.028166515796875,1.4716796875,0.0222303435877854,0.500319315923639,128.41656630391253,-1.3270703124999365e-07,9.593723788364094e-05,0.000136058,-0.0001358559999999,8.623152343749983e-05,50.09765625,21.0,-75.0,0.0,0.0,0,25,63010,2,1507.127686
3.906250965403779e-11,0.0175328523084708,0.024725928,-0.024833427,0.049559355,-0.0040939365545327,0.0315468679335937,1.9404296875,0.024926651952467,0.5604972737978189,161.16660833912155,-1.490615234375055e-07,0.0001074765572804,0.000152763,-0.00015164,9.66465537109376e-05,50.09765625,21.0,-75.0,0.0,0.0,0,25,63020,2,1987.49952
-3.6132822968096196e-11,0.0197832062014105,0.027911211,-0.028038291,0.055949502,-0.004281524100589,0.0354976441660156,2.6279296875,0.0281224135026061,0.6324376517957303,205.19334581765577,-1.664199218749973e-07,0.0001212737055793,0.0001705959999999,-0.0001711119999999,0.0001091099511718,50.09765625,29.0,-74.0,0.0,0.0,0,25,63020,2,2690.828365
-5.371094581913275e-11,0.0250736801456574,0.035428021,-0.035575387,0.0710034079999999,-0.0040410906245835,0.0451043097246093,4.802734375,0.0356652925304655,0.8015647007076702,329.61432704607256,-2.11791015625005e-07,0.0001537055079246,0.0002168629999999,-0.000216414,0.0001384667402343,50.0,12.0,-74.0,0.0,0.0,0,25,63020,2,4918.264521
-3.231113056419936e-18,0.0279538855264479,0.039388525,-0.039632207,0.079020732,-0.0060052958095483,0.05032132675,6.3857421875,0.0397914635448767,0.8936388692527474,409.6889800757106,-2.3750878906251467e-07,0.0001713602089988,0.000243029,-0.0002420899999999,0.0001540998583984,50.0,15.0,-74.0,0.0,0.0,0,25,63020,2,6538.643558
-2.6367179873518742e-11,0.0353423910531396,0.049814376,-0.050162968,0.099977344,-0.0069331332090829,0.0636034873730468,11.2353515625,0.0503689343369916,1.1298343269414644,654.8800695713362,-3.004257812499929e-07,0.0002166553803784,0.0003071299999999,-0.000305226,0.0001949678242187,50.09765625,19.0,-74.0,0.0,0.0,0,25,63020,2,11504.91656
7.32421947139564e-11,0.0396316944358888,0.055885843,-0.056284632,0.1121704749999999,-0.00703242292981,0.0712925504902343,14.4794921875,0.0565174881269911,1.2669542557993616,823.4840641291768,-3.337705078125032e-07,0.0002429563258596,0.0003418049999999,-0.0003414769999999,0.0002187491884765,50.09765625,20.0,-75.0,0.0,0.0,0,25,63020,2,14827.08294
