max_flux,label,温度,频率Hz,损耗
0.09687685,正弦波,25,177820,337543.8407
0.017473055,正弦波,25,158500,3244.397103
0.120718671,正弦波,25,99950,261995.6204
0.024736253,正弦波,25,125860,6436.356958
0.035116311,正弦波,25,141260,18587.69819
0.055243389,正弦波,25,141260,61611.15987
0.028140327,正弦波,25,79460,5505.247899
0.056063457,正弦波,25,63020,24769.0296
0.043455785,正弦波,25,398100,163090.2459
0.024788399,正弦波,25,177820,9842.381205
0.031619657,正弦波,25,70830,6680.186414
0.022177573,正弦波,25,63020,2368.167996
0.013930289,正弦波,25,446690,10607.24676
0.017612729,正弦波,25,141270,2872.163982
0.07616875,正弦波,25,99950,88256.39193
0.069503811,正弦波,25,99950,71060.34314
0.055879856,正弦波,25,50020,18844.59334
0.013909372,正弦波,25,354820,6575.801225
0.077688847,正弦波,25,89090,82036.11567
0.03965496,正弦波,25,141260,25742.97147
0.054291499,正弦波,25,281850,163017.4754
0.05521,正弦波,25,177830,84139.11
0.049350699,正弦波,25,99950,29888.95976
0.039519093,正弦波,25,177820,35799.27968
0.021894098,正弦波,25,398100,26965.31595
0.049791178,正弦波,25,70840,20951.22762
0.035502604,正弦波,25,56320,7049.891568
0.017921127,正弦波,25,79470,1666.618794
0.01811794,正弦波,25,70840,1483.807827
0.049645935,正弦波,25,79460,23434.88172
0.022102795,正弦波,25,223850,9994.801523
0.09788,正弦波,25,70840,106603.21
0.015494133,正弦波,25,251170,4624.752201
0.025112759,正弦波,25,89080,4621.54849
0.027798048,正弦波,25,177820,13456.5026
0.015611613,正弦波,25,354820,8635.369559
0.055731654,正弦波,25,112160,46372.68437
0.044163596,正弦波,25,79460,17535.64671
0.019603124,正弦波,25,354820,16405.62203
0.077782581,正弦波,25,112160,106758.283
0.077195454,正弦波,25,177820,198046.1364
0.078215043,正弦波,25,63020,55018.15883
0.055663714,正弦波,25,223850,119523.7163
0.031224423,正弦波,25,158500,15812.57433
0.011687326,正弦波,25,223860,1876.831789
0.035309117,正弦波,25,50020,5780.576037
0.062300006,正弦波,25,112160,62396.39731
0.087859751,正弦波,25,79460,95415.8528
0.011332033,正弦波,25,199500,1447.652109
0.06195779,正弦波,25,158500,96037.4381
0.061493636,正弦波,25,125860,69515.09617
0.031240146,正弦波,25,125860,11941.69855
0.076986007,正弦波,25,223850,271896.1544
0.019634094,正弦波,25,79460,2101.78054
0.031336557,正弦波,25,177820,18599.79257
0.031119052,正弦波,25,99950,9186.977414
0.03553998,正弦波,25,63020,7949.919573
0.039117501,正弦波,25,223850,48082.93473
0.035228678,正弦波,25,158500,21807.25701
0.078760595,正弦波,25,70840,63801.52671
0.031372785,正弦波,25,56320,5187.405328
0.08665,正弦波,25,158510,223634.42
0.012711585,正弦波,25,354820,5285.696708
0.062989411,正弦波,25,50020,25277.2595
0.098431401,正弦波,25,63030,94000.05852
0.02755,正弦波,25,354830,39826.92
0.03478,正弦波,25,398100,91873.66
0.01967546,正弦波,25,251170,8750.603579
0.050618254,正弦波,25,50020,14526.68568
0.069805005,正弦波,25,70840,47751.87072
0.017520331,正弦波,25,177820,3763.202029
0.013821007,正弦波,25,281850,4156.570373
0.03161,正弦波,25,70840,6708.94
0.068500996,正弦波,25,251170,243093.4097
0.108416292,正弦波,25,158500,377284.4662
0.027824133,正弦波,25,56320,3834.543648
0.034706386,正弦波,25,99950,12166.09512
0.055214245,正弦波,25,177820,83965.54501
0.017511437,正弦波,25,281850,7740.407464
0.031054184,正弦波,25,354820,54353.1503
0.025757093,正弦波,25,50020,2525.795337
0.08587,正弦波,25,177830,255925.63
0.01239477,正弦波,25,316230,3956.614345
0.015645226,正弦波,25,112160,1581.900836
0.024537214,正弦波,25,316230,24122.70595
0.043725353,正弦波,25,99950,22011.65677
0.07005862,正弦波,25,79460,54833.04468
0.034683905,正弦波,25,223850,34966.44258
0.039400543,正弦波,25,79460,13186.28828
0.043746774,正弦波,25,177820,46438.57438
0.040044166,正弦波,25,63020,10694.99524
0.061164984,正弦波,25,281850,219196.5696
0.030932749,正弦波,25,281850,36672.12798
0.108621452,正弦波,25,112160,235673.497
0.031597888,正弦波,25,79460,7493.457734
0.013951614,正弦波,25,398100,8365.005888
0.096328797,正弦波,25,79460,117359.0135
0.015666954,正弦波,25,141260,2076.411932
0.013880026,正弦波,25,316230,5123.22227
0.05576296,正弦波,25,79460,31306.49834
0.022119827,正弦波,25,251170,12022.14993
0.045302833,正弦波,25,50020,10983.4126
0.010998079,正弦波,25,158500,960.6041961
0.031225869,正弦波,25,89090,8282.992066
0.013905226,正弦波,25,223850,2812.802962
0.06195,正弦波,25,141270,82490.89
0.031134064,正弦波,25,316230,44903.03302
0.01393,正弦波,25,446690,10633.61
0.017450806,正弦波,25,89080,1719.05603
0.097704109,正弦波,25,112160,182841.5251
0.097876271,正弦波,25,70840,106342.9168
0.070048273,正弦波,25,50020,32708.86696
0.02788209,正弦波,25,158500,11696.82591
0.077295525,正弦波,25,125860,121527.8533
0.021988935,正弦波,25,125860,4670.792394
0.01966,正弦波,25,158510,4510.9
0.01169,正弦波,25,223860,1880.22
0.055609235,正弦波,25,125860,54180.25231
0.023309192,正弦波,25,56320,2358.08245
0.044550637,正弦波,25,56320,12314.76721
0.022139984,正弦波,25,99950,3701.310433
0.02768036,正弦波,25,398100,49610.18134
0.024752718,正弦波,25,199500,11539.78477
0.069568832,正弦波,25,56320,36954.31168
0.048444488,正弦波,25,316230,146425.2775
0.024720294,正弦波,25,112160,5622.090825
0.019499869,正弦波,25,446680,25054.50138
0.017523601,正弦波,25,223850,5300.202299
0.034863646,正弦波,25,354820,73446.31274
0.03939,正弦波,25,79470,13206.25
0.039131796,正弦波,25,99950,16631.76528
0.039365749,正弦波,25,89090,15020.31185
0.015742673,正弦波,25,158500,2423.358763
0.019688002,正弦波,25,89080,2402.430665
0.027553977,正弦波,25,354820,39770.13086
0.02759,正弦波,25,99960,6774.1
0.012374643,正弦波,25,354820,4927.295924
0.017415634,正弦波,25,99950,1917.512188
0.108659019,正弦波,25,79460,156518.723
0.044458048,正弦波,25,125860,29941.48484
0.031609003,正弦波,25,63020,5905.607142
0.015778834,正弦波,25,99950,1490.157037
0.012495792,正弦波,25,316230,4056.323866
0.05517,正弦波,25,158510,71994.57
0.021859659,正弦波,25,446690,33535.77772
0.01741339,正弦波,25,199500,4419.113482
0.02229682,正弦波,25,79460,2963.224939
0.043905125,正弦波,25,281850,92180.85462
0.01104,正弦波,25,177830,1127.86
0.031718896,正弦波,25,50020,4427.524958
0.028107735,正弦波,25,89080,6259.548425
0.030922463,正弦波,25,251170,30726.6807
0.019640382,正弦波,25,199500,6162.634842
0.043969133,正弦波,25,251170,77531.57586
0.069080741,正弦波,25,141260,107447.8944
0.044378773,正弦波,25,141260,34442.10729
0.012457136,正弦波,25,177820,1549.723788
0.03951858,正弦波,25,125860,22093.25058
0.039427494,正弦波,25,112160,19175.54026
0.035190502,正弦波,25,177820,25269.79363
0.10708,正弦波,25,70840,132026.41
0.024960518,正弦波,25,63020,3210.217952
0.08785,正弦波,25,79470,95559.34
0.022246508,正弦波,25,112160,4219.926955
0.012411322,正弦波,25,158500,1304.817186
0.049604711,正弦波,25,56320,16283.28276
0.119642317,正弦波,25,125860,351151.9819
0.015662329,正弦波,25,398100,10909.61126
0.061960582,正弦波,25,141260,82386.05469
0.121526622,正弦波,50,79460,143788.09
0.03891,正弦波,50,199510,27383.37
0.019545601,正弦波,50,99950,1643.571556
0.024802273,正弦波,50,223850,9718.199442
0.119498663,正弦波,50,125850,255817.9545
0.012362763,正弦波,50,158500,920.6728312
0.076498301,正弦波,50,99950,59795.13006
0.024573527,正弦波,50,112160,3472.788134
0.119938891,正弦波,50,112160,221064.1691
0.027774288,正弦波,50,446680,57381.81626
0.049456642,正弦波,50,141260,30622.48899
0.031450446,正弦波,50,70840,4089.373361
0.024678454,正弦波,50,63020,1926.351332
0.015681115,正弦波,50,99950,973.7818892
0.017523593,正弦波,50,281850,6340.583795
0.012939035,正弦波,50,354820,5146.277448
0.077892961,正弦波,50,50020,27127.53961
0.077848469,正弦波,50,141260,99348.44855
0.055275274,正弦波,50,63020,14966.01673
0.027788622,正弦波,50,199500,10782.59638
0.017510556,正弦波,50,99950,1224.660532
0.049203563,正弦波,50,99950,18719.7221
0.039606322,正弦波,50,50020,4810.923112
0.134036539,正弦波,50,79460,185466.0391
0.030996389,正弦波,50,141260,8590.413062
0.024731829,正弦波,50,177820,6571.056775
0.06114031,正弦波,50,281850,166811.6102
0.096010044,正弦波,50,89090,92875.10243
0.043723155,正弦波,50,177820,31046.74271
0.024512021,正弦波,50,316230,19305.34062
0.015554279,正弦波,50,177820,1970.678742
0.077921079,正弦波,50,63020,35489.2086
0.109186532,正弦波,50,50020,62521.06426
0.019717317,正弦波,50,70840,1211.120133
0.049147014,正弦波,50,63020,11119.83853
0.097779232,正弦波,50,70840,72382.91389
0.02397,正弦波,50,50030,1302.35
0.035024296,正弦波,50,141260,11887.96602
0.034944305,正弦波,50,199500,20741.73716
0.03487696,正弦波,50,79470,5991.405911
0.10791711,正弦波,50,158500,276763.5255
0.012365796,正弦波,50,281860,2700.682661
0.055261665,正弦波,50,99950,25398.54047
0.06966341,正弦波,50,70840,30705.38916
0.148039254,正弦波,50,112160,376315.3855
0.027720452,正弦波,50,177820,8864.491348
0.06931252,正弦波,50,99950,46641.33734
0.013991212,正弦波,50,177820,1504.356508
0.035216506,正弦波,50,63020,4795.530547
0.034767737,正弦波,50,398100,78665.69735
0.043499281,正弦波,50,223850,44272.10612
0.048980856,正弦波,50,199500,50173.35757
0.023972852,正弦波,50,50020,1299.219583
0.027917547,正弦波,50,50020,1985.311379
0.061751667,正弦波,50,99950,33951.36353
0.017556004,正弦波,50,79460,988.5795154
0.019693721,正弦波,50,125860,2221.631435
0.01958063,正弦波,50,141260,2505.18737
0.021878637,正弦波,50,177820,4732.51095
0.013866977,正弦波,50,223850,2218.270872
0.049522792,正弦波,50,112160,21957.91259
0.022090712,正弦波,50,112160,2607.671679
0.069102081,正弦波,50,199500,127451.9018
0.019487406,正弦波,50,199500,4194.252118
0.013862117,正弦波,50,125860,914.8212901
0.022010924,正弦波,50,70830,1618.758847
0.012557685,正弦波,50,281850,2807.662554
0.039132907,正弦波,50,89080,9129.080664
0.020018691,正弦波,50,63020,1093.756353
0.030972451,正弦波,50,446690,76728.29347
0.013832294,正弦波,50,281860,3518.641575
0.109326563,正弦波,50,63020,82576.98227
0.087295374,正弦波,50,50020,35999.3999
0.0967,正弦波,50,177830,249632.54
0.049207848,正弦波,50,251170,74903.27862
0.044736775,正弦波,50,50020,6609.411984
0.043985672,正弦波,50,63020,8428.115295
0.039141091,正弦波,50,177820,23208.97704
0.038750084,正弦波,50,446690,132446.9614
0.01756,正弦波,50,141270,1885.21
0.038907836,正弦波,50,199500,27321.9088
0.035171708,正弦波,50,50020,3558.270114
0.096718762,正弦波,50,141260,177462.1571
0.087487424,正弦波,50,63030,47366.27588
0.012314603,正弦波,50,223850,1654.560867
0.049146515,正弦波,50,89080,16401.68417
0.024753826,正弦波,50,158500,5526.401257
0.015660077,正弦波,50,398100,10670.15975
0.055271863,正弦波,50,223850,83792.38334
0.024794583,正弦波,50,99950,3137.511057
0.024839711,正弦波,50,251170,12089.84466
0.085657102,正弦波,50,89090,69393.14713
0.121485816,正弦波,50,70840,124457.2925
0.012401119,正弦波,50,199510,1351.764897
0.055260725,正弦波,50,70840,17034.69048
0.107887984,正弦波,50,141260,231826.6965
0.022154092,正弦波,50,63020,1451.669744
0.039077071,正弦波,50,223850,33476.17127
0.017417078,正弦波,50,223850,3986.566819
0.107780758,正弦波,50,99950,141558.01
0.03528562,正弦波,50,70840,5491.887392
0.054507665,正弦波,50,281850,124295.6155
0.022033345,正弦波,50,79460,1790.252746
0.108599848,正弦波,50,112160,168536.8885
0.039153894,正弦波,50,281860,51073.77861
0.108041084,正弦波,50,70830,93325.12307
0.086027004,正弦波,50,177820,185399.6721
0.043313078,正弦波,50,354820,106737.1627
0.03148879,正弦波,50,50030,2686.567479
0.049560628,正弦波,50,125850,25436.6022
0.069931576,正弦波,50,79460,35430.02344
0.011549086,正弦波,50,177820,921.7414954
0.017465592,正弦波,50,398100,14369.78568
0.027686231,正弦波,50,251170,16844.48005
0.043484107,正弦波,50,398100,136631.1432
0.027906437,正弦波,50,79460,3327.687857
0.012139395,正弦波,50,223850,1616.818791
